id,order_placed
1,0.00033386962277290875
8,0.04303217658307403
10,0.0006272574239119422
15,0.00039351644518319516
20,0.0004813205487153027
22,0.00047733183528180233
27,0.010374305862933397
29,0.0004961330199876101
37,0.016459203290287404
47,0.00030963862845965193
48,0.00028595818002941087
50,0.0004488928763748845
55,0.0007192270728410222
57,0.0002872935681807576
58,0.0006761496115359478
60,0.0009625189282814972
64,0.01136568101355806
65,0.0001712272274744464
67,0.006618966703535989
82,0.055835675029084084
83,0.0008424130799539852
84,0.0013438394802506083
88,0.005240797530859709
98,0.0016012556799978484
100,0.9298257231712341
102,0.005552557791816071
103,0.0020859359909081833
109,0.004298949145595543
112,0.003080822865013033
115,0.0004835210602323059
116,0.00032494015140400735
117,0.00015548818701063282
128,0.0017154123415821232
132,0.00034194147847301795
133,0.0008614782258518971
134,0.0002525712086935528
137,0.0032646543462760747
139,0.003109588858205825
140,0.00046589746489189565
141,0.0003665985328552779
142,0.0020588173589203506
143,0.006069090304663405
144,0.00018364833013038152
145,0.004738070326857269
157,0.13877044040709735
159,0.030763308354653417
160,0.009642864542547614
165,0.5891074076294899
166,0.004670126779819839
167,0.0031323949719080702
169,0.0017337063647573814
177,0.0004541042828350328
185,0.7756113916635513
186,0.18849380258470774
189,0.0002862514644220937
190,0.001450906893296633
191,0.8059345185756683
192,0.16835371796041726
195,0.001178028593858471
196,0.004725130274891853
197,0.005375287710921839
204,0.0016176373217604123
208,0.00023522695191786626
209,0.00035102105684927667
214,0.0003207563702744665
216,0.9577518790960312
218,0.0012566310018883088
224,0.005521715922805015
227,0.8860045671463013
235,0.23983354791998862
236,0.00028788080362573965
237,0.001011051933892304
242,0.0008666268389788456
253,0.09612137135118246
258,0.25939934253692626
260,0.00045323124832066244
261,0.24092116728425025
263,0.3479464778676629
265,0.0009381564086652361
273,0.014628395129693671
275,0.008691739817732014
277,0.19053458236157894
280,0.0025767896222532727
283,0.21530550606548787
285,0.020953057520091533
286,0.0025048190233064815
294,0.00038410915913118516
